nr;name;link;size;mag
5;ics.uci.edu-755;http://www.archive.ics.uci.edu/dataset/755/accelerometer+gyro+mobile+phone+dataset;2.1;MB
2;Kaggle-vmalyi;https://www.kaggle.com/datasets/vmalyi/run-or-walk;2.3;MB
3;Mendeley-Cristiana-Gabriel;https://www.sciencedirect.com/science/article/pii/S2352340923009289;4.9;MB
6;Kaggle-malekzadeh;https://www.kaggle.com/datasets/malekzadeh/motionsense-dataset;75.5;MB
7;physionet;https://physionet.org/content/accelerometry-walk-climb-drive/1.0.0/;184.7;MB
1;cecas.clemson.edu;https://sites.google.com/view/rmattfeld/pedometer-dataset;289.7;MB
8;mendeley-Jean-Patrick-Hartmann;https://data.mendeley.com/datasets/4d9zptw33g/1;1.6;GB
4;Kaggle-drdataboston;https://www.kaggle.com/datasets/drdataboston/93-human-gait-database/data;3;GB
